,Symbol,Market,Name,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region
1810,129260,KOSPI,인터지스,도로 화물 운송업,"화물운송,알선,하역",2011-12-16,12월,박동호,http://www.intergis.co.kr,부산광역시
1818,023810,KOSPI,인팩,자동차 신품 부품 제조업,"자동차용 케이블,전자정보통신관련기기 제조,도매",2004-09-21,12월,"최오길, 최웅선",http://www.infac.com,서울특별시
1825,249420,KOSPI,일동제약,의약품 제조업,"아로나민, 후루마린, 큐란, 라비에트, 사미온 등",2016-08-31,12월,윤웅섭,http://www.ildong.com,서울특별시
1826,000230,KOSPI,일동홀딩스,의약품 제조업,"의약품 제조,도매",1975-06-28,12월,이정치,http://www.ildong.com,서울특별시
1827,013360,KOSPI,일성건설,토목 건설업,"건축공사,토목공사,전기공사",1989-12-02,12월,유필상,http://www.ilsungconst.co.kr,인천광역시
1828,003120,KOSPI,일성신약,의약품 제조업,"의약품(항생제,화학료법제,항바이러스,근이완제,영양액륜) 제조,판매",1985-01-14,12월,"윤석근, 윤종욱",http://www.ilsung-ph.co.kr,서울특별시
1830,003200,KOSPI,일신방직,방적 및 가공사 제조업,"면사,P/C혼방사,P/C혼방직물,화섬사 제조,수출",1973-05-23,12월,김정수,http://www.ilshin.co.kr,서울특별시
1831,007110,KOSPI,일신석재,"건축자재, 철물 및 난방장치 도매업","건축석 제조,도소매/석공예,석공사",1986-03-04,12월,김학선,http://www.ilshinstone.co.kr,서울특별시
1833,007570,KOSPI,일양약품,의약품 제조업,"일반의약품(원비디,영비천,아진탈,디세텔,노루모산),항암제(베타-이뮤난),전문의약품 제조,판매,수출입",1974-08-28,12월,김동연,http://www.ilyang.co.kr,경기도
1834,007575,KOSPI,일양약품우,,,,,,,
1835,008500,KOSPI,일정실업,편조원단 제조업,"자동차시트원단,의류,완구직물 제조,염색가공",1994-08-12,12월,"고동수, 남발우",http://www.iljeong.co.kr,경기도
1837,081000,KOSPI,일진다이아,기타 화학제품 제조업,"공업용 합성다이아몬드 제조,도매,수출입",2004-12-22,12월,"정희원, 변정출",http://www.iljindiamond.co.kr,충청북도
1838,020760,KOSPI,일진디스플,반도체 제조업,"박막액정표시장치(TFT-LCD) 패널,LT(리튬탄탈에이트)웨이퍼,분말야금제품(초고압용공구),보석다이아몬드 제조,판매/종합건설",2002-01-09,12월,대표이사 심임수,http://www.iljindisplay.co.kr,충청북도
1839,020150,KOSPI,일진머티리얼즈,전자부품 제조업,"인쇄회로기판(PCB)용 전해동박(ACF,UCF),에폭시용 동박,전해콘덴서용 알루미늄박 제조,판매",2011-03-04,12월,"허재명, 양점식 (각자대표)",http://www.iljinm.co.kr,전라북도
1840,103590,KOSPI,일진전기,절연선 및 케이블 제조업,,2008-08-01,12월,황수 (단독대표),,경기도
1842,015860,KOSPI,일진홀딩스,기타 금융업,"전기산업용기기(개폐기,차단기,배전반),자동화시스템,자동차엔진부품,절연전선,금구류,고압선,저압선 제조,판매/전기공사,가스절연차단기",1990-03-22,12월,허정석,http://www.iljin.co.kr,경기도
1843,226320,KOSPI,잇츠한불,기타 화학제품 제조업,"스킨케어 베이직, 포인트 메이크업, 스킨케어 스페셜, 베이스 메이크업 등",2015-12-28,12월,이주형,http://www.itshanbul.com,서울특별시
