2020-11-08 01:06:27 : 진행 시간 - 00:25 | 0.5316  
2020-11-08 01:06:27 : 진행 시간 - 00:25 | 0.5316  
2020-11-08 01:06:27 : 진행 시간 - 00:25 | 0.5316  
2020-11-08 01:06:27 : 진행 시간 - 00:25 | 다음 데이터가 없습니다. 3번째 에피소드가 끝났습니다.  
2020-11-08 01:06:27 : 진행 시간 - 00:25 | 다음 데이터가 없습니다. 3번째 에피소드가 끝났습니다.  
2020-11-08 01:06:27 : 진행 시간 - 00:25 | 다음 데이터가 없습니다. 3번째 에피소드가 끝났습니다.  
2020-11-08 01:06:27 : 진행 시간 - 00:25 | 다음 데이터가 없습니다. 3번째 에피소드가 끝났습니다.  
2020-11-08 01:06:27 : 진행 시간 - 00:25 | 다음 데이터가 없습니다. 3번째 에피소드가 끝났습니다.  
2020-11-08 01:06:27 : 진행 시간 - 00:25 | 다음 데이터가 없습니다. 3번째 에피소드가 끝났습니다.  
2020-11-08 01:06:27 : 진행 시간 - 00:25 | 다음 데이터가 없습니다. 3번째 에피소드가 끝났습니다.  
2020-11-08 01:06:27 : 진행 시간 - 00:25 | 다음 데이터가 없습니다. 3번째 에피소드가 끝났습니다.  
2020-11-08 01:06:27 : 진행 시간 - 00:25 | 다음 데이터가 없습니다. 3번째 에피소드가 끝났습니다.  
2020-11-08 01:06:29 : 진행 시간 - 00:27 | 0.8746  
2020-11-08 01:06:29 : 진행 시간 - 00:27 | 0.8746  
2020-11-08 01:06:29 : 진행 시간 - 00:27 | 0.8746  
2020-11-08 01:06:29 : 진행 시간 - 00:27 | 0.8746  
2020-11-08 01:06:29 : 진행 시간 - 00:27 | 0.8746  
2020-11-08 01:06:29 : 진행 시간 - 00:27 | 0.8746  
2020-11-08 01:06:29 : 진행 시간 - 00:27 | 0.8746  
2020-11-08 01:06:29 : 진행 시간 - 00:27 | 0.8746  
2020-11-08 01:06:29 : 진행 시간 - 00:27 | 0.8746  
2020-11-08 01:06:29 : 진행 시간 - 00:27 | 0.8746  
2020-11-08 01:06:29 : 진행 시간 - 00:27 | 다음 데이터가 없습니다. 4번째 에피소드가 끝났습니다.  
2020-11-08 01:06:29 : 진행 시간 - 00:27 | 다음 데이터가 없습니다. 4번째 에피소드가 끝났습니다.  
2020-11-08 01:06:29 : 진행 시간 - 00:27 | 다음 데이터가 없습니다. 4번째 에피소드가 끝났습니다.  
